"artifact","source_path","copied","data_status","result_class","note"
"weather_definition_source_lock.csv","outputs/tables/weather_definition_source_lock.csv",TRUE,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT","Source-locked definition implementations"
"weather_definition_source_validation.csv","outputs/tables/weather_definition_source_validation.csv",TRUE,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT","Primary-source reproduction checks"
"weather_event_morphology_audit.csv","outputs/tables/weather_event_morphology_audit.csv",TRUE,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT","Spillover event morphology audit"
"exposures_spillover_monthly_2013_2023.csv","data_processed/exposures_spillover_monthly_2013_2023.csv",TRUE,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT","Calendar-spillover monthly weather exposure audit (no health outcomes)"
"weather_spillover_exposure_build.md","outputs/reports/weather_spillover_exposure_build.md",TRUE,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT","Spillover build note"
"md_calibration_summary.csv","outputs/calibration_md/md_calibration_summary.csv",TRUE,"SYNTHETIC_CALIBRATION","METHODS_FEASIBILITY","Synthetic calibration summary; not CHD/HF health findings"
"md_calibration_gate_summary.csv","outputs/calibration_md/md_calibration_gate_summary.csv",TRUE,"SYNTHETIC_CALIBRATION","METHODS_FEASIBILITY","Synthetic calibration admission gates"
"md_pilot_f1_0_failure_note.md","outputs/calibration_md/md_pilot_f1_0_failure_note.md",TRUE,"SYNTHETIC_CALIBRATION","METHODS_FEASIBILITY","F1.0 pilot nuisance-seasonality failure note"
"md_calibration_f1_2_decision_report.md","outputs/calibration_md/md_calibration_f1_2_decision_report.md",TRUE,"SYNTHETIC_CALIBRATION","METHODS_FEASIBILITY","Strict worst-cell F1.2 gate decision; no real coefficient admitted"
"md_pilot_f1_0_gate_summary.csv","outputs/calibration_md/md_pilot_f1_0_gate_summary.csv",TRUE,"SYNTHETIC_CALIBRATION","METHODS_FEASIBILITY","F1.0 pilot gate summary retained for audit"
