citation_key,authors,year,title,journal,country_or_city,study_period,population,sample_size_or_event_count,outcome,diagnosis_definition,temporal_resolution,temperature_source,temperature_metric,heat_definition,cold_definition,humidity_metric,pollutants,lag_structure,statistical_model,seasonality_control,long_term_trend_control,population_offset,age_analysis,sex_analysis,main_result,effect_measure,limitations,relevance_to_current_project,directly_overlapping,doi,pmid,source_verified,claim_class,notes
liu2020jasmine,Liu Jingwen; Hansen A; Varghese B; Liu Z; Tong M; Qiu H; Tian L; Lau KKL; Ng E; Ren C; Bi P,2020,"Cause-specific mortality attributable to cold and hot ambient temperatures in Hong Kong: a time-series study, 2006-2016",Sustainable Cities and Society,Hong Kong,2006-2016,Daily deaths,NA,Total and cause-specific mortality,Death registry / cause-specific groups,Daily,HKO,Mean temperature DLNM,Above MMT (heat AF 0.16%),Below MMT (cold AF 4.72%),Pending full PDF,Pending full PDF,DLNM (lag details pending full PDF),DLNM + quasi-Poisson,Yes,Yes,NA,Pending full PDF,Pending full PDF,Cold AF 4.72% vs heat 0.16%; moderate AF 4.25% vs extreme 0.63%; reversed J,Attributable fraction; RR,Full PDF not ingested; MMT/splines pending,Daily mortality AF baseline; not morbidity coefficients,FALSE,10.1016/j.scs.2020.102131,NA,Crossref 2026-08-10,daily_mortality_AF,Confirmed Jasmine identity; headline AFs locked from secondary sources pending full PDF
liu2026roro,Liu Zhenyuan; Ren C; Liu Jingwen; Kawasaki Yurika; Bishai DM,2026,Modelling the Excess Mortality Associated with Heat Waves in Hong Kong: 2014-2023,medRxiv (preprint),Hong Kong,2014-2023,Expected age-sex deaths from life tables,1455-3238 modeled excess deaths across defs,Model-based excess mortality,RR-transport scenarios not new death coding,Daily exposure scenarios,HKO,Four heatwave definitions,HWD_Tavg / Tmax / Tmin / Tcombined,NA,NA,NA,Imported phase RRs (Liu 2020; Wang 2019),Monte Carlo RR transport,NA,NA,Life-table expected deaths,Age-sex synthesis from marginal RRs,Age-sex synthesis from marginal RRs,1455-3238 excess deaths depending on definition,Modeled excess deaths; ASR,Preprint; not new regression; operator ambiguities in secondary text,Modeled excess-death companion baseline,PARTIAL,10.64898/2026.03.05.26347683,NA,Crossref/medRxiv 2026-08-10,modeled_excess_deaths,PREPRINT v1; cite medRxiv not private revised PDF; Crossref inverts Kawasaki/Yurika fields
wang2019ehwe,Wang D; Lau KKL; Ren C; Goggins WB; Shi Y; Ho HC; Lee TC; Lee LS; Woo J; Ng E,2019,Extremely hot weather events and all-cause mortality Hong Kong 2006-2015,Science of the Total Environment,Hong Kong,2006-2015,Mortality,NA,All-cause mortality,Death registry,Daily,HKO,VHD HN spells 2D3N,Tmax>=33; Tmin>=28; >=5 consecutive; NDNDN,NA,NA,Controlled per source,Event + post-event evidence,Time-series,Yes,Yes,NA,NA,NA,Defines Ren/Wang EHWE metrics; consecutive extremes informative,Relative risk,Mortality not admissions,Primary lock for spell/2D3N exposures,PARTIAL,10.1016/j.scitotenv.2019.07.039,31302556,Crossref/PubMed 2026-08-10,exposure_definition_mortality,Deduped former wang2014hotspell stub (same PMID)
li2025heatwaves,Li Changyu; Wei Wenmin; Chan Pak Wai; Huang Jianping,2025,Heatwaves in Hong Kong and their influence on pollution and extreme precipitation,Atmospheric Research,Hong Kong,1980-2023 reference context; warm-season events,Atmospheric events,57 events under source operator (audit),Heatwave climatology; pollution/precip links,NA,Daily weather,HKO,Tmax vs calendar-day p90,May-Sep; p90 15-day window; >=3d; merge interval <=2d,NA,NA,O3 PM discussion,NA,Climatological / synoptic,Warm season,Trend described,NA,NA,NA,Increasing heatwave frequency/intensity/duration; pollution and precip links,Event metrics,Not a health estimand,Source for Hogan HM23 monthly event-count adaptation,PARTIAL,10.1016/j.atmosres.2024.107845,NA,Crossref 2026-08-10,exposure_definition_atmospheric,Authors Changyu Li et al. (not generic Li)
basagana2024md,Basagana X; Ballester J,2024,Unbiased temperature-related mortality estimates using weekly and monthly health data,Lancet Planetary Health,Europe (EARLY-ADAPT) + simulations,Simulation + multi-region mortality,Mortality counts,~148M death counts in application DB,Mortality,Death counts,Daily weekly monthly aggregation,Temperature series,Daily temperature with aggregated outcomes,Non-optimal temperature,Non-optimal temperature,NA,NA,As in DLNM-style simulations,Aggregated-outcome likelihood (D|D W|D M|D),Yes,Yes,As specified,NA,NA,Weekly models close to daily; monthly M|D unbiased only with sufficient data and at substantially higher variance,RR and attributable mortality,Mortality focus; monthly precision loss; code unlicensed for copy,M|D method-validation citation,FALSE,10.1016/S2542-5196(24)00212-2,39393378,Crossref/PubMed 2026-08-10,MD_method_validation,Correction online 2024-10-29; clean-room equation only; do not claim unqualified monthly unbiasedness
basagana2026md,Basagana X; Ballester J,2026,Unbiased estimates using temporally aggregated outcome data in time series analysis: generalization,Epidemiology,Methods,NA,Generalized outcomes/exposures,NA,Various aggregated outcomes,NA,Aggregated,General exposures,General,NA,NA,NA,NA,NA,Temporally aggregated outcome likelihood,NA,NA,NA,NA,NA,Generalizes 2024 method beyond mortality setting,Methods,Does not validate Laidlaw coefficients,M|D generalization citation,FALSE,10.1097/EDE.0000000000001923,NA,Crossref 2026-08-10,MD_method_validation,Journal vol 2026; Crossref issued date-parts include 2025-10-02
gasparrini2010,Gasparrini A; Armstrong B; Kenward MG,2010,Distributed lag non-linear models,Statistics in Medicine,Methods,NA,NA,NA,Methods,NA,Daily typical,NA,Flexible DLNM,NA,NA,NA,NA,Distributed lag,DLNM,NA,NA,NA,NA,NA,Foundational DLNM methods,Methods,Not a HK finding,Cite for Jasmine architecture / why rich DLNM banned at n=132,FALSE,10.1002/sim.3940,NA,Crossref 2026-08-10,methods_dlnm,
dunsmuir2015glarma,Dunsmuir WTM; Scott DJ,2015,The glarma package for observation-driven time series regression of counts,Journal of Statistical Software,Methods,NA,NA,NA,Count time series,NA,Discrete time,NA,NA,NA,NA,NA,NA,Observation-driven ARMA-like,GLARMA,NA,NA,Supported,NA,NA,Software/methods for GLARMA counts,Methods,Not a health finding,NB-GLARMA ensemble citation,FALSE,10.18637/jss.v067.i07,NA,Crossref 2026-08-10,methods_serial_dependence,
zhu2011nbingarch,Zhu Fukang,2011,A negative binomial integer-valued GARCH model,Journal of Time Series Analysis,Methods,NA,NA,NA,Overdispersed counts,NA,Discrete time,NA,NA,NA,NA,NA,NA,INGARCH,NB-INGARCH,NA,NA,NA,NA,NA,NB-INGARCH model class,Methods,Cite only if discussed; not auto-fitted,Overdispersed count dependence context,FALSE,10.1111/j.1467-9892.2010.00684.x,NA,Crossref 2026-08-10,methods_serial_dependence,Journal year 2011; Crossref issued includes 2010-09-02
lazarus2018har,Lazarus E; Lewis DJ; Stock JH; Watson MW,2018,HAR inference: recommendations for practice,Journal of Business and Economic Statistics,Methods,NA,NA,NA,Inference methods,NA,Time series,NA,NA,NA,NA,NA,NA,HAC/HAR,HAR inference,NA,NA,NA,NA,NA,Practical HAR/HAC recommendations,Methods,Econometrics practice paper,HC / Newey-West interval reporting discipline,FALSE,10.1080/07350015.2018.1506926,NA,Crossref 2026-08-10,methods_inference,
